"athlete","time","lap_nr","ind"
"df_time_campenaerts",16.459999999999997,138,138
"df_time_campenaerts",16.403,139,139
"df_time_campenaerts",16.381,140,140
"df_time_campenaerts",16.379,141,141
"df_time_campenaerts",16.353,142,142
"df_time_campenaerts",16.291999999999998,143,143
"df_time_campenaerts",16.328,144,144
"df_time_campenaerts",16.246,145,145
"df_time_campenaerts",16.391000000000002,147,146
"df_time_campenaerts",16.259,148,147
"df_time_campenaerts",16.355,149,148
"df_time_campenaerts",16.508,150,149
"df_time_campenaerts",16.415,151,150
"df_time_campenaerts",16.317000000000004,152,151
"df_time_campenaerts",16.38,153,152
"df_time_campenaerts",16.321,154,153
"df_time_campenaerts",16.374000000000002,155,154
"df_time_campenaerts",16.419999999999998,156,155
"df_time_campenaerts",16.421,157,156
"df_time_campenaerts",16.447,158,157
"df_time_campenaerts",16.424999999999997,159,158
"df_time_campenaerts",16.392,160,159
"df_time_campenaerts",16.423,161,160
"df_time_campenaerts",16.448999999999998,162,161
"df_time_campenaerts",16.432,163,162
"df_time_campenaerts",16.412,164,163
"df_time_campenaerts",16.464999999999996,166,164
"df_time_campenaerts",16.496,167,165
"df_time_campenaerts",16.479,168,166
"df_time_campenaerts",16.445999999999998,169,167
"df_time_campenaerts",16.485999999999997,170,168
"df_time_campenaerts",16.474999999999998,171,169
"df_time_campenaerts",16.395,172,170
"df_time_campenaerts",16.444999999999997,173,171
"df_time_campenaerts",16.427,174,172
"df_time_campenaerts",16.383,175,173
"df_time_campenaerts",16.427,176,174
"df_time_campenaerts",16.45,177,175
"df_time_campenaerts",16.414,178,176
"df_time_campenaerts",16.415,179,177
"df_time_campenaerts",16.534000000000002,180,178
"df_time_campenaerts",16.491999999999997,181,179
"df_time_campenaerts",16.528,182,180
"df_time_campenaerts",16.453,183,181
"df_time_campenaerts",16.447999999999997,184,182
"df_time_campenaerts",16.391000000000002,185,183
"df_time_campenaerts",16.256,186,184
"df_time_campenaerts",16.314000000000004,187,185
"df_time_campenaerts",16.378,188,186
"df_time_campenaerts",16.365,189,187
"df_time_campenaerts",16.389,190,188
"df_time_campenaerts",16.364,191,189
"df_time_campenaerts",16.429,192,190
"df_time_campenaerts",16.374000000000002,193,191
"df_time_campenaerts",16.429,194,192
"df_time_campenaerts",16.356,195,193
"df_time_campenaerts",16.362,196,194
"df_time_campenaerts",16.329,197,195
"df_time_campenaerts",16.284,198,196
"df_time_campenaerts",16.318,199,197
"df_time_campenaerts",16.395,200,198
"df_time_campenaerts",16.287,201,199
"df_time_campenaerts",16.361,202,200
"df_time_campenaerts",16.487999999999996,203,201
"df_time_campenaerts",16.421,204,202
"df_time_campenaerts",16.305,205,203
"df_time_campenaerts",16.256,206,204
"df_time_campenaerts",16.421999999999997,207,205
"df_time_campenaerts",16.333000000000002,208,206
"df_time_campenaerts",16.391000000000002,209,207
"df_time_campenaerts",16.316000000000003,211,208
"df_time_campenaerts",16.223,212,209
"df_time_campenaerts",16.306,213,210
"df_time_campenaerts",16.234,214,211
"df_time_campenaerts",16.204,215,212
"df_time_campenaerts",16.197000000000003,216,213
"df_time_campenaerts",16.174000000000003,217,214
"df_time_campenaerts",16.061999999999998,218,215
